pool_id,unit_role,treated_code,treated_name,payment_type,synth_pct_change,actual_pct_change,gap_pct_change,emp_2011,pop_2011
P2,spillover,117031330,Erskineville - Alexandria,NA,0,NA,NA,15.42,14890
P2,spillover,117031331,Glebe - Forest Lodge,Mortgage,-1.637187926709454,-1.858345021037868,-0.22115709432841402,16.375,17734
P2,spillover,117031331,Glebe - Forest Lodge,Rent,16.006203786732243,30.79249848759831,14.786294700866065,16.375,17734
P2,spillover,117031331,Glebe - Forest Lodge,NA,0,NA,NA,16.375,17734
P2,spillover,117031332,Newtown - Camperdown - Darlington,Mortgage,-1.6367454163765889,0.6238532110091742,2.2605986273857632,22.153,22909
P2,spillover,117031332,Newtown - Camperdown - Darlington,Rent,16.065310797726603,20.233050847457626,4.167740049731023,22.153,22909
P2,spillover,117031332,Newtown - Camperdown - Darlington,NA,0,NA,NA,22.153,22909
P2,treated,117031333,Potts Point - Woolloomooloo,Mortgage,-1.5615959489358981,-2.752654345261502,-1.191058396325604,24.713,19612
P2,treated,117031333,Potts Point - Woolloomooloo,Rent,16.28420528845262,22.942779291553133,6.658574003100515,24.713,19612
P2,treated,117031333,Potts Point - Woolloomooloo,NA,0,NA,NA,24.713,19612
P2,treated,117031334,Pyrmont - Ultimo,Mortgage,-1.6425357474246565,-5.825242718446602,-4.182706971021945,21.234,20239
P2,treated,117031334,Pyrmont - Ultimo,Rent,15.743703313570176,24.276061776061773,8.532358462491597,21.234,20239
P2,treated,117031334,Pyrmont - Ultimo,NA,0,NA,NA,21.234,20239
P2,spillover,117031335,Redfern - Chippendale,Mortgage,-1.6471147875807899,0.11547344110854503,1.7625882286893348,19.14,17899
P2,spillover,117031335,Redfern - Chippendale,Rent,15.602685542090484,35.78947368421053,20.186788142120044,19.14,17899
P2,spillover,117031335,Redfern - Chippendale,NA,0,NA,NA,19.14,17899
P2,treated,117031336,Surry Hills,Mortgage,-1.5679758888974444,-1.5339663988312637,0.0340094900661807,18.744,16795
P2,treated,117031336,Surry Hills,Rent,16.292024515721522,27.699018538713194,11.406994022991672,18.744,16795
P2,treated,117031336,Surry Hills,NA,0,NA,NA,18.744,16795
P2,treated,117031337,Sydney - Haymarket - The Rocks,Mortgage,-1.4494143929110659,-1.5073529411764706,-0.05793854826540468,43.771,25021
P2,treated,117031337,Sydney - Haymarket - The Rocks,Rent,16.492062623100935,32.53757736516357,16.045514742062636,43.771,25021
P2,treated,117031337,Sydney - Haymarket - The Rocks,NA,0,NA,NA,43.771,25021
P2,spillover,117031338,Waterloo - Beaconsfield,Mortgage,-1.6948332025675619,-7.538635506973238,-5.843802304405676,18.577,22565
P2,spillover,117031338,Waterloo - Beaconsfield,Rent,14.512203359870794,35.97164796219728,21.459444602326485,18.577,22565
P2,spillover,117031338,Waterloo - Beaconsfield,NA,0,NA,NA,18.577,22565
P2,spillover,118011341,Bondi Junction - Waverly,Mortgage,-1.6370424973605866,-0.8302889405513119,0.8067535568092747,15.209,16966
P2,spillover,118011341,Bondi Junction - Waverly,Rent,16.022176334822973,28.292682926829265,12.270506592006292,15.209,16966
P2,spillover,118011341,Bondi Junction - Waverly,NA,0,NA,NA,15.209,16966
P2,spillover,118011345,Paddington - Moore Park,Mortgage,-1.6295528039871798,2.456140350877193,4.085693154864373,13.818,15461
P2,spillover,118011345,Paddington - Moore Park,Rent,16.181487208044352,29.281496062992122,13.10000885494777,13.818,15461
P2,spillover,118011345,Paddington - Moore Park,NA,0,NA,NA,13.818,15461
P2,spillover,120021387,Balmain,Mortgage,-1.6377795673247775,-1.3676844783715014,0.27009508895327605,12.616,15743
P2,spillover,120021387,Balmain,Rent,15.956237153558973,26.881720430107524,10.925483276548551,12.616,15743
P2,spillover,120021387,Balmain,NA,0,NA,NA,12.616,15743
P2,spillover,120021388,Leichhardt - Annandale,Mortgage,-1.6268689350605574,2.9020143393649707,4.528883274425528,21.45,25992
P2,spillover,120021388,Leichhardt - Annandale,Rent,16.187378610418083,24.223275408109533,8.03589679769145,21.45,25992
P2,spillover,120021388,Leichhardt - Annandale,NA,0,NA,NA,21.45,25992
P2,spillover,120021389,Lilyfield - Rozelle,Mortgage,-1.5887550992916177,0.22727272727272727,1.816027826564345,11.087,13907
P2,spillover,120021389,Lilyfield - Rozelle,Rent,16.274985469064575,30.788804071246815,14.51381860218224,11.087,13907
P2,spillover,120021389,Lilyfield - Rozelle,NA,0,NA,NA,11.087,13907
P3,treated,117031329,Darlinghurst,Mortgage,-1.5107977456853898,-3.1426553672316384,-1.6318576215462486,13.33,10914
P3,treated,117031329,Darlinghurst,Rent,15.6143321533313,26.63955261820031,11.025220464869008,13.33,10914
P3,treated,117031329,Darlinghurst,NA,0,NA,NA,13.33,10914
P3,spillover,117031330,Erskineville - Alexandria,Mortgage,-1.5832359963036506,-3.009427121102248,-1.4261911247985972,15.42,14890
P3,spillover,117031330,Erskineville - Alexandria,Rent,15.209154657233773,26.705940108001965,11.496785450768192,15.42,14890
P3,spillover,117031330,Erskineville - Alexandria,NA,0,NA,NA,15.42,14890
P3,spillover,117031331,Glebe - Forest Lodge,Mortgage,-1.5732612474175809,-1.858345021037868,-0.28508377362028714,16.375,17734
P3,spillover,117031331,Glebe - Forest Lodge,Rent,15.441728608661753,30.79249848759831,15.350769878936555,16.375,17734
P3,spillover,117031331,Glebe - Forest Lodge,NA,0,NA,NA,16.375,17734
P3,spillover,117031332,Newtown - Camperdown - Darlington,Mortgage,-1.566320060367042,0.6238532110091742,2.1901732713762163,22.153,22909
P3,spillover,117031332,Newtown - Camperdown - Darlington,Rent,15.498155099608248,20.233050847457626,4.734895747849379,22.153,22909
P3,spillover,117031332,Newtown - Camperdown - Darlington,NA,0,NA,NA,22.153,22909
P3,treated,117031333,Potts Point - Woolloomooloo,Mortgage,-1.4190515487246125,-2.752654345261502,-1.3336027965368897,24.713,19612
P3,treated,117031333,Potts Point - Woolloomooloo,Rent,15.618380903135225,22.942779291553133,7.324398388417908,24.713,19612
