pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,industry,att,pre_mspe,n_donors
P1,All Australia (exc. Greater Sydney),117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Retail trade,0.20374110870492976,1.3921469089572382,1849
P1,All Australia (exc. Greater Sydney),117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Population,-8.01067421694107,0.00214684850647111,1874
P1,All Australia (exc. Greater Sydney),117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Income: Total,-4.832626462603957,32.079641763604315,1873
P1,All Australia (exc. Greater Sydney),117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Income: Retail trade,-9.14632344459303,2.888664534481434,1849
P1,All Australia (exc. Greater Sydney),117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Income: Accommodation and food services,-14.409653503559175,15.568277662502089,1844
P1,All Australia (exc. Greater Sydney),117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Income: Arts and recreation services,-6.870250633629634,32.799666923367276,1632
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Total,-2.12546939052073,0.01478526092580694,1872
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Accommodation and food services,-7.636929339740971,2.9857981965805394,1843
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Arts and recreation services,8.519528238265567,2.1915575133941108,1627
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Retail trade,-3.6243130979248974,1.154156699988512,1846
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Population,-4.871124750575504,0.00347628171339494,1874
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Income: Total,-5.524873167425459,1.883399428980575,1870
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Income: Retail trade,-11.99607369282081,0.04481998432361377,1849
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Income: Accommodation and food services,-10.708581391328964,0.311765264693536,1842
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Income: Arts and recreation services,0.1434580932503072,169.64806096241358,1632
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Total,-8.132857671623377,0.1025431515168192,1872
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Accommodation and food services,-0.8920728671444588,3.2708578978583183,1843
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Arts and recreation services,4.519922865084119,23.11615682010929,1627
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Retail trade,7.400677872595177,0.35566636627109427,1847
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Population,-26.70882313745845,0.4293012810111938,1874
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Income: Total,-5.415256096678472,12.820258610670514,1873
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Income: Retail trade,-14.312114480456094,28.109950176977215,1849
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Income: Accommodation and food services,-6.397497754697409,0.16103618468688863,1844
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Income: Arts and recreation services,-9.943053657859238,0.01954120393301973,1632
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Total,-7.836487997482339,7.040236835875827,1868
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Accommodation and food services,-1.3726839272754958,3.412631504472404,1839
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Arts and recreation services,26.79261768353087,9.335802797706483,1620
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Retail trade,-2.621268480652309,0.9342466014888492,1839
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Population,-40.70750012559111,1.7289572138779778,1874
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Income: Total,-4.0885701044660605,4.77809011506724,1873
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Income: Retail trade,-11.078023568109082,5.296830943483869,1849
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Income: Accommodation and food services,-10.45245329547467,0.4491009486945028,1842
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Income: Arts and recreation services,-8.162863991729573,20.33353788181699,1632
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Total,-6.97704857738654,5.980030633000392e-4,1872
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Accommodation and food services,-6.24442930354536,4.0989605172955255,1843
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Arts and recreation services,16.613658508883624,1.0503695878466264,1627
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Retail trade,4.360239997595897,4.158123390780681,1846
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Population,-14.731807390734565,0.02877347216208709,1874
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Income: Total,-2.6719036365904523,1.7374687840891343,1870
