Role,Pool,SA2,Status,Industry,ATT (index pts),Pre-MSPE,p-value,Sig,N donors
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Accommodation and food services,-7.6 pp,2.99,—,,1843
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Arts and recreation services,+8.5 pp,2.19,—,,1627
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Retail trade,-3.6 pp,1.15,—,,1846
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Population,-4.9 pp,0.00,—,,1874
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Income: Total,-5.5 pp,1.88,—,,1870
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Income: Retail trade,-12.0 pp,0.04,—,,1849
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Income: Accommodation and food services,-10.7 pp,0.31,—,,1842
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Income: Arts and recreation services,+0.1 pp,169.65,—,,1632
spillover,All Australia (exc. Greater Sydney),Redfern - Chippendale,Spillover,Total,-8.1 pp,0.10,—,,1872
spillover,All Australia (exc. Greater Sydney),Redfern - Chippendale,Spillover,Accommodation and food services,-0.9 pp,3.27,—,,1843
spillover,All Australia (exc. Greater Sydney),Redfern - Chippendale,Spillover,Arts and recreation services,+4.5 pp,23.12,—,,1627
spillover,All Australia (exc. Greater Sydney),Redfern - Chippendale,Spillover,Retail trade,+7.4 pp,0.36,—,,1847
spillover,All Australia (exc. Greater Sydney),Redfern - Chippendale,Spillover,Population,-26.7 pp,0.43,—,,1874
spillover,All Australia (exc. Greater Sydney),Redfern - Chippendale,Spillover,Income: Total,-5.4 pp,12.82,—,,1873
spillover,All Australia (exc. Greater Sydney),Redfern - Chippendale,Spillover,Income: Retail trade,-14.3 pp,28.11,—,,1849
spillover,All Australia (exc. Greater Sydney),Redfern - Chippendale,Spillover,Income: Accommodation and food services,-6.4 pp,0.16,—,,1844
spillover,All Australia (exc. Greater Sydney),Redfern - Chippendale,Spillover,Income: Arts and recreation services,-9.9 pp,0.02,—,,1632
spillover,All Australia (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Total,-7.8 pp,7.04,—,,1868
spillover,All Australia (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Accommodation and food services,-1.4 pp,3.41,—,,1839
spillover,All Australia (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Arts and recreation services,+26.8 pp,9.34,—,,1620
spillover,All Australia (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Retail trade,-2.6 pp,0.93,—,,1839
spillover,All Australia (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Population,-40.7 pp,1.73,—,,1874
spillover,All Australia (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Income: Total,-4.1 pp,4.78,—,,1873
spillover,All Australia (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Income: Retail trade,-11.1 pp,5.30,—,,1849
spillover,All Australia (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Income: Accommodation and food services,-10.5 pp,0.45,—,,1842
spillover,All Australia (exc. Greater Sydney),Waterloo - Beaconsfield,Spillover,Income: Arts and recreation services,-8.2 pp,20.33,—,,1632
spillover,All Australia (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Total,-7.0 pp,0.00,—,,1872
spillover,All Australia (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Accommodation and food services,-6.2 pp,4.10,—,,1843
spillover,All Australia (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Arts and recreation services,+16.6 pp,1.05,—,,1627
spillover,All Australia (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Retail trade,+4.4 pp,4.16,—,,1846
spillover,All Australia (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Population,-14.7 pp,0.03,—,,1874
spillover,All Australia (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Income: Total,-2.7 pp,1.74,—,,1870
spillover,All Australia (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Income: Retail trade,-10.5 pp,0.13,—,,1849
spillover,All Australia (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Income: Accommodation and food services,-9.6 pp,19.70,—,,1844
spillover,All Australia (exc. Greater Sydney),Erskineville - Alexandria,Spillover,Income: Arts and recreation services,-8.0 pp,344.10,—,,1632
spillover,All Australia (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Total,-7.1 pp,0.11,—,,1874
spillover,All Australia (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Accommodation and food services,-6.8 pp,16.03,—,,1844
spillover,All Australia (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Arts and recreation services,+2.4 pp,8.97,—,,1624
spillover,All Australia (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Retail trade,-4.4 pp,0.30,—,,1846
spillover,All Australia (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Population,-1.8 pp,0.01,—,,1871
spillover,All Australia (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Income: Total,+1.5 pp,13.04,—,,1872
spillover,All Australia (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Income: Retail trade,-10.8 pp,24.11,—,,1849
spillover,All Australia (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Income: Accommodation and food services,-3.8 pp,4.91,—,,1845
spillover,All Australia (exc. Greater Sydney),Leichhardt - Annandale,Spillover,Income: Arts and recreation services,+9.4 pp,147.94,—,,1632
spillover,All Australia (exc. Greater Sydney),Balmain,Spillover,Total,-14.4 pp,2.09,—,,1872
spillover,All Australia (exc. Greater Sydney),Balmain,Spillover,Accommodation and food services,-17.6 pp,4.44,—,,1843
spillover,All Australia (exc. Greater Sydney),Balmain,Spillover,Arts and recreation services,-6.4 pp,22.17,—,,1624
spillover,All Australia (exc. Greater Sydney),Balmain,Spillover,Retail trade,-15.0 pp,3.53,—,,1844
spillover,All Australia (exc. Greater Sydney),Balmain,Spillover,Population,-0.9 pp,0.01,—,,1870
spillover,All Australia (exc. Greater Sydney),Balmain,Spillover,Income: Total,+1.6 pp,0.02,—,,1872
spillover,All Australia (exc. Greater Sydney),Balmain,Spillover,Income: Retail trade,-9.4 pp,22.75,—,,1849
spillover,All Australia (exc. Greater Sydney),Balmain,Spillover,Income: Accommodation and food services,+2.8 pp,4.61,—,,1845
spillover,All Australia (exc. Greater Sydney),Balmain,Spillover,Income: Arts and recreation services,-15.8 pp,0.58,—,,1632
spillover,All Australia (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Total,-5.1 pp,1.38,—,,1874
spillover,All Australia (exc. Greater Sydney),Lilyfield - Rozelle,Spillover,Accommodation and food services,-8.5 pp,16.95,—,,1843
