pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,outcome_type,industry,att_index_pts,pre_mspe,n_donors,base_value,att_pct,att_raw
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Employment,Arts and recreation services,4.519922865084119,23.11615682010929,1627,0.487,0.045199228650841194,0.02201202435295966
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Employment,Retail trade,7.400677872595177,0.35566636627109427,1847,1.378,0.07400677872595178,0.10198134108436155
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Employment,Total,-8.132857671623377,0.1025431515168192,1872,19.723,-0.08132857671623377,-1.6040435185742785
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Median income,Accommodation and food services,-6.397497754697409,0.16103618468688863,1844,6499,-0.0639749775469741,-415.7733790777846
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Median income,Arts and recreation services,-9.943053657859238,0.01954120393301973,1632,10650.5,-0.09943053657859238,-1058.9849298302981
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Median income,Retail trade,-14.312114480456094,28.109950176977215,1849,13524,-0.14312114480456095,-1935.5703623368822
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Median income,Total,-5.415256096678472,12.820258610670514,1873,17035.5,-0.05415256096678472,-922.515952349661
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Population,Population,-26.70882313745845,0.4293012810111938,1874,18872,-0.2670882313745845,-5040.489102501158
P1,All Australia (exc. Greater Sydney),117031335,Redfern - Chippendale,Spillover,spillover,Rent,Rent (monthly avg),19.304387363543107,NA,NA,1615,0.19304387363543107,311.7658559212212
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Employment,Accommodation and food services,-1.3726839272754958,3.412631504472404,1839,1.883,-0.013726839272754959,-0.02584763835059759
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Employment,Arts and recreation services,26.79261768353087,9.335802797706483,1620,0.379,0.2679261768353087,0.101544021020582
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Employment,Retail trade,-2.621268480652309,0.9342466014888492,1839,1.687,-0.02621268480652309,-0.044220799268604456
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Employment,Total,-7.836487997482339,7.040236835875827,1868,20.593,-0.07836487997482339,-1.613767973321538
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Median income,Accommodation and food services,-10.45245329547467,0.4491009486945028,1842,8793,-0.1045245329547467,-919.0842182710877
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Median income,Arts and recreation services,-8.162863991729573,20.33353788181699,1632,13500,-0.08162863991729573,-1101.9866388834923
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Median income,Retail trade,-11.078023568109082,5.296830943483869,1849,17364,-0.11078023568109081,-1923.5880123664608
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Median income,Total,-4.0885701044660605,4.77809011506724,1873,26808,-0.040885701044660605,-1096.0638736052615
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Population,Population,-40.70750012559111,1.7289572138779778,1874,24217,-0.4070750012559111,-9858.1353054144
P1,All Australia (exc. Greater Sydney),117031338,Waterloo - Beaconsfield,Spillover,spillover,Rent,Rent (monthly avg),20.642794780112137,NA,NA,1693,0.20642794780112136,349.4825156272985
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Employment,Accommodation and food services,17.66509190950454,13.855399574902057,1845,1.469,0.1766509190950454,0.2595002001506217
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Employment,Arts and recreation services,0.8329433339194594,1.316606882310351,1631,0.315,0.008329433339194593,0.0026237715018462967
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Employment,Retail trade,-7.075646395590465,0.14489631780062756,1846,1.022,-0.07075646395590465,-0.07231310616293456
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Employment,Total,-3.458501510721964,4.601689716479029,1872,16.222,-0.03458501510721964,-0.561038115069317
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Median income,Accommodation and food services,-16.368759549799137,76.25593799132756,1845,6461,-0.16368759549799136,-1057.585554512522
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Median income,Arts and recreation services,-22.33907876821536,27.26315742600228,1632,12327,-0.2233907876821536,-2753.738239757907
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Median income,Retail trade,-23.213715862205262,88.69999945690108,1831,18250,-0.23213715862205261,-4236.5031448524605
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Median income,Total,-10.57143763726401,6.595021531205907,1872,21152,-0.1057143763726401,-2236.0704890340835
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Population,Population,-2.9019895617106735,0.015285303000286,1874,17195,-0.029019895617106734,-498.9971051361503
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Rent,Rent (monthly avg),11.361374411315577,NA,NA,2050,0.11361374411315577,232.9081754319693
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Employment,Accommodation and food services,-5.606144537584679,0.3467821680334038,1844,1.107,-0.056061445375846786,-0.06206002003106239
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Employment,Arts and recreation services,5.814778876058194,2.447886050964425,1622,0.292,0.058147788760581944,0.016979154318089926
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Employment,Retail trade,-8.528913399266818,3.5753463825231715,1846,0.934,-0.08528913399266819,-0.07966005114915209
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Employment,Total,-6.948044047218723,0.7976620010114776,1874,14.317,-0.06948044047218722,-0.9947514662403045
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Median income,Accommodation and food services,-6.696166182363645,1.0936759530567808,1845,7696,-0.06696166182363644,-515.336949394706
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Median income,Arts and recreation services,-6.422877812661206,129.9776182587069,1632,15659,-0.06422877812661205,-1005.7584366846181
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Median income,Retail trade,-10.89107523045864,8.528081117959093,1849,18079,-0.1089107523045864,-1968.9974909146174
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Median income,Total,-1.767179649456357,2.4570858865020258,1872,31797,-0.01767179649456357,-561.9101131376378
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Population,Population,-1.510059911836502,0.00511101209205205,1870,15672,-0.015100599118365018,-236.65658938301658
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Rent,Rent (monthly avg),12.169096577760342,NA,NA,2032,0.12169096577760342,247.27604246009017
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Employment,Accommodation and food services,-17.569562736718414,4.436282422542348,1843,0.655,-0.17569562736718414,-0.11508063592550562
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Employment,Arts and recreation services,-6.368065021732605,22.16775859973919,1624,0.294,-0.06368065021732605,-0.018722111163893856
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Employment,Retail trade,-14.996821431097402,3.5281073046596663,1844,0.662,-0.149968214310974,-0.0992789578738648
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Employment,Total,-14.360567225594684,2.0916023466462863,1872,13.266,-0.14360567225594684,-1.9050728481473906
