year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,industry,pre_mspe
2011,102.77859814924199,102.29261860240535,0.48597954683663147,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,0.23616518375996276
2012,102.83766489466431,103.32362193759752,-0.48595704293320807,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,0.23616518375996276
2013,100,99.99999999649725,3.5027483136218507e-9,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,0.23616518375996276
2014,103.10592636345737,96.44788074422264,6.658045619234727,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,0.23616518375996276
2015,107.95432171687342,96.50688311985837,11.44743859701505,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,0.23616518375996276
2016,141.0120102382359,115.95454947575378,25.05746076248211,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,0.23616518375996276
2017,127.96564284307935,120.34028730591173,7.625355537167621,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,0.23616518375996276
2018,120.96377239614098,121.79497926890092,-0.8312068727599353,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,0.23616518375996276
2011,93.67652564582552,93.63105578559775,0.04546986022776878,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.002067397002166461
2012,96.45451141894422,96.49997883381685,-0.04546741487263262,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.002067397002166461
2013,100,99.99999999952932,4.706777190222056e-10,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.002067397002166461
2014,104.0509172594534,109.48644764560271,-5.43553038614931,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.002067397002166461
2015,107.64507675028078,120.81463158936045,-13.169554839079666,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.002067397002166461
2016,110.95469861475102,131.7923838882602,-20.837685273509166,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.002067397002166461
2017,116.06514414077124,138.56634164491658,-22.50119750414534,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.002067397002166461
2018,118.58854361662299,143.1951637968975,-24.60662018027452,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.002067397002166461
2011,106.68973471741639,109.76137263027785,-3.071637912861462,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,9.435365298913034
2012,108.76585928489044,105.69408925279198,3.0717700320984562,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,9.435365298913034
2013,100.00000000000001,99.9999999897447,1.0255320148644387e-8,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,9.435365298913034
2014,106.45905420991927,101.40199815523557,5.057056054683699,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,9.435365298913034
2015,108.15071126489812,101.98642340716259,6.1642878577355305,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,9.435365298913034
2016,127.56632064590542,107.69174259222177,19.87457805368365,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,9.435365298913034
2017,124.87504805843906,107.66295861814201,17.21208944029705,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,9.435365298913034
2018,113.18723567858515,109.3417248194882,3.8455108590969473,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,9.435365298913034
2011,93.74423325336778,94.37986395750394,-0.6356307041361617,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.4040327958174482
2012,95.60804576490129,94.9724049861636,0.6356407787376952,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.4040327958174482
2013,100,99.99999999542261,4.577387358040141e-9,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.4040327958174482
2014,104.19819154825613,105.19454963206026,-0.9963580838041253,P3,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.4040327958174482
