year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,industry,pre_mspe
2018,113.18723567858515,121.11054959470556,-7.9233139161204065,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Retail trade,8.259414666192367
2011,97.48322147651007,96.8360745782743,0.6471468982357607,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Total,0.4187924839502336
2012,97.94081757169006,98.58795423423075,-0.6471366625406887,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Total,0.4187924839502336
2013,100,99.99999998626876,1.3731238368563936e-8,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Total,0.4187924839502336
2014,104.57596095179989,102.54138250901859,2.034578442781296,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Total,0.4187924839502336
2015,105.62080536912752,103.31708403000778,2.303721339119747,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Total,0.4187924839502336
2016,108.83160463697376,111.4579565992839,-2.626351962310139,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Total,0.4187924839502336
2017,105.06406345332519,115.46403972868401,-10.399976275358824,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Total,0.4187924839502336
2018,104.06497864551555,120.65808620608837,-16.593107560572818,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Total,0.4187924839502336
2011,94.61297071129708,92.70229288848557,1.9106778228115076,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Accommodation and food services,3.6506845618731303
2012,92.05020920502092,93.96088431637882,-1.9106751113579037,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Accommodation and food services,3.6506845618731303
2013,100,99.99999999974025,2.597460024844622e-10,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Accommodation and food services,3.6506845618731303
2014,94.87447698744771,106.16292665253677,-11.288449665089061,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Accommodation and food services,3.6506845618731303
2015,102.71966527196653,109.631315413764,-6.911650141797466,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Accommodation and food services,3.6506845618731303
2016,101.0460251046025,115.83963431362702,-14.79360920902451,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Accommodation and food services,3.6506845618731303
2017,101.35983263598325,117.75257951673993,-16.392746880756675,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Accommodation and food services,3.6506845618731303
2018,99.94769874476988,121.59324218763719,-21.645543442867307,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Accommodation and food services,3.6506845618731303
2011,87.50000000000001,89.57376550371363,-2.0737655037136165,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Arts and recreation services,4.300914619765942
2012,94.02173913043477,91.94777532285777,2.0739638075770017,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Arts and recreation services,4.300914619765942
2013,100,100.00000000006345,-6.345146630337695e-11,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Arts and recreation services,4.300914619765942
2014,100,98.88760219944511,1.1123978005548878,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Arts and recreation services,4.300914619765942
2015,106.5217391304348,97.95506267755464,8.56667645288016,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Arts and recreation services,4.300914619765942
2016,111.68478260869564,102.12135752660298,9.563425082092664,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Arts and recreation services,4.300914619765942
2017,95.10869565217392,103.59472577338792,-8.486030121214,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Arts and recreation services,4.300914619765942
2018,113.04347826086958,112.09534867236638,0.9481295885031926,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Arts and recreation services,4.300914619765942
2011,100.47449584816134,97.52474896043137,2.9497468877299724,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Retail trade,8.701051596106486
2012,95.37366548042705,98.32342758787577,-2.94976210744872,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Retail trade,8.701051596106486
2013,100,99.99999999608245,3.917548951903882e-9,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Retail trade,8.701051596106486
2014,106.16844602609727,102.3330235389323,3.8354224871649762,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Retail trade,8.701051596106486
2015,102.25385527876632,103.46826545289065,-1.2144101741243247,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Retail trade,8.701051596106486
2016,104.62633451957296,108.45345184641616,-3.8271173268431937,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Retail trade,8.701051596106486
2017,95.49228944246738,109.99438569729615,-14.502096254828771,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Retail trade,8.701051596106486
2018,91.57769869513642,112.19973057262322,-20.622031877486805,P4,Capital cities only (exc. Greater Sydney),117031329,Darlinghurst,Full,Retail trade,8.701051596106486
