year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,industry,pre_mspe
2011,102.77859814924199,104.41851912653773,-1.6399209772957448,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.689340309624593
2012,102.83766489466431,101.1977442235724,1.6399206710919145,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.689340309624593
2013,100,99.9999999993073,6.926939022378065e-10,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.689340309624593
2014,103.10592636345737,103.3677340043062,-0.26180764084882924,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.689340309624593
2015,107.95432171687342,100.96917252507201,6.985149191801412,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.689340309624593
2016,141.0120102382359,111.25664276917868,29.755367469057205,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.689340309624593
2017,127.96564284307935,114.264693765822,13.700949077257349,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.689340309624593
2018,120.96377239614098,119.13710175411401,1.8266706420269685,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.689340309624593
2011,93.67652564582552,93.75955102333886,-0.08302537751333716,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.00689352861003345
2012,96.45451141894422,96.37148224389813,0.08302917504609297,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.00689352861003345
2013,100,99.9999999993936,6.064055924070999e-10,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.00689352861003345
2014,104.0509172594534,110.33268282284874,-6.281765563395339,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.00689352861003345
2015,107.64507675028078,122.65138136219392,-15.006304611913137,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.00689352861003345
2016,110.95469861475102,133.74466258881634,-22.789963974065316,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.00689352861003345
2017,116.06514414077124,140.7838548447052,-24.71871070393395,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.00689352861003345
2018,118.58854361662299,145.45547576091963,-26.86693214429664,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.00689352861003345
2011,106.68973471741639,109.59661126786631,-2.9068765504499225,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,8.449915300625662
2012,108.76585928489044,105.85898823138709,2.9068710535033517,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,8.449915300625662
2013,100.00000000000001,99.99999999934744,6.525766593767912e-10,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,8.449915300625662
2014,106.45905420991927,101.43725750640914,5.021796703510134,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,8.449915300625662
2015,108.15071126489812,100.05783215963149,8.092879105266633,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,8.449915300625662
2016,127.56632064590542,106.56716353611314,20.99915710979228,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,8.449915300625662
2017,124.87504805843906,119.92687770078795,4.948170357651108,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,8.449915300625662
2018,113.18723567858515,121.01116618591001,-7.82393050732486,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,8.449915300625662
2011,93.74423325336778,94.2182089873712,-0.4739757340034174,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.22465162175651496
2012,95.60804576490129,95.13407293119776,0.4739728337035274,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.22465162175651496
2013,100,99.99999999952455,4.754525662065134e-10,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.22465162175651496
2014,104.19819154825613,105.4180880530734,-1.219896504817271,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.22465162175651496
2015,107.46447684074553,108.1046142997089,-0.6401374589633662,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.22465162175651496
2016,139.0754751799225,113.53465212409651,25.540823055825996,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.22465162175651496
2017,130.1439379959402,115.25420566935199,14.889732326588216,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.22465162175651496
2018,128.19708433290276,119.07753845797743,9.119545874925336,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.22465162175651496
2011,103.78006872852234,105.39141622780474,-1.6113474992824024,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,2.5964376585318405
2012,106.872852233677,105.26150666129966,1.6113455723773313,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,2.5964376585318405
2013,100,99.99999999968502,3.149835947624524e-10,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,2.5964376585318405
2014,100.6872852233677,105.98251808168574,-5.295232858318045,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,2.5964376585318405
2015,104.46735395189003,101.71895630258332,2.7483976493067104,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,2.5964376585318405
2016,173.36769759450172,104.79003389793759,68.57766369656413,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,2.5964376585318405
2017,153.09278350515464,109.38891098950197,43.70387251565268,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,2.5964376585318405
2018,141.4089347079038,113.7349402918571,27.673994416046696,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,2.5964376585318405
2011,81.73716580896196,81.47029511054426,0.26687069841770494,P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,0.071382948265204485
