year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,industry,pre_mspe
2018,128.19708433290276,119.62344950358099,8.573634829321776,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,0.15479028117159827
2011,103.78006872852234,104.99066130492326,-1.210592576400927,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,1.4655343887813972
2012,106.872852233677,105.66225965500911,1.2105925786678853,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,1.4655343887813972
2013,100,99.99999999998322,1.6783019418653566e-11,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,1.4655343887813972
2014,100.6872852233677,106.20034844660292,-5.513063223235221,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,1.4655343887813972
2015,104.46735395189003,102.84941408657971,1.6179398653103192,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,1.4655343887813972
2016,173.36769759450172,106.09877902017864,67.26891857432308,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,1.4655343887813972
2017,153.09278350515464,110.3399613046587,42.75282220049594,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,1.4655343887813972
2018,141.4089347079038,115.1445599854451,26.264374722458697,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,1.4655343887813972
2011,81.73716580896196,81.71318167764035,0.023984131321611812,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,5.955442758233647e-4
2012,90.56106439061128,90.58588071581052,-0.024816325199239486,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,5.955442758233647e-4
2013,100,100.00000000886776,-8.867758083397348e-9,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,5.955442758233647e-4
2014,105.12740052717461,100.44164993750815,4.685750589666469,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,5.955442758233647e-4
2015,112.9659846868332,109.4668672321945,3.499117454638693,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,5.955442758233647e-4
2016,94.32659721350572,105.53929021223452,-11.212692998728798,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,5.955442758233647e-4
2017,107.11685703527051,110.97462594464392,-3.857768909373405,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,5.955442758233647e-4
2018,120.49705033262207,115.39423361826071,5.102816714361353,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,5.955442758233647e-4
2011,80.36442878338278,79.14731250414404,1.2171162792387378,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,1.4813730338181004
2012,82.61313056379822,83.83024766188215,-1.217117098083932,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,1.4813730338181004
2013,100,99.99999999998775,1.2249756764504127e-11,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,1.4813730338181004
2014,93.72681750741839,103.9314034445555,-10.20458593713711,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,1.4813730338181004
2015,99.70326409495549,111.82245946142788,-12.119195366472397,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,1.4813730338181004
2016,92.50741839762613,114.47280424901535,-21.96538585138923,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,1.4813730338181004
2017,104.29339762611276,115.82335870189117,-11.529961075778402,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,1.4813730338181004
2018,115.70382047477744,118.59511922917302,-2.891298754395578,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,1.4813730338181004
2011,91.21983914209115,91.07848970950556,0.14134943258558508,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,0.01998031000747047
2012,94.98994638069705,95.13130039699186,-0.14135401629481237,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,0.01998031000747047
2013,99.99999999999999,99.99999999982253,1.7745094282872742e-10,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,0.01998031000747047
2014,113.41320375335121,104.1350891772795,9.278114576071715,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,0.01998031000747047
2015,120.91152815013405,108.7926683619327,12.118859788201348,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,0.01998031000747047
2016,109.0985254691689,112.91834817368776,-3.819822704518856,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,0.01998031000747047
2017,115.54959785522789,115.64725948400739,-0.09766162877950535,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,0.01998031000747047
2018,123.82707774798928,121.70167589539119,2.1254018525980882,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,0.01998031000747047
2011,95.83504028403658,95.29945585778218,0.5355844262544025,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,0.286866188734506
2012,97.91069233920524,98.44630572572835,-0.5356133865231101,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,0.286866188734506
2013,100,99.99999999998305,1.695354967523599e-11,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,0.286866188734506
2014,118.69452410214393,112.54611164119018,6.14841246095375,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,0.286866188734506
2015,100.61450225317493,124.55043586377563,-23.9359336106007,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,0.286866188734506
2016,96.14911921343712,130.69715562273382,-34.5480364092967,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,0.286866188734506
2017,118.73549091902225,135.20581767875106,-16.470326759728806,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,0.286866188734506
2018,117.32896353953298,146.0351238868238,-28.706160347290833,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,0.286866188734506
2011,97.48322147651007,96.79371244125558,0.6895090352544884,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Total,0.4754227099668874
2012,97.94081757169006,98.63032660733514,-0.6895090356450737,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Total,0.4754227099668874
2013,100,99.99999999998315,1.6854073692229576e-11,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Total,0.4754227099668874
2014,104.57596095179989,102.55533123951602,2.0206297122838635,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Total,0.4754227099668874
2015,105.62080536912752,103.47772032223114,2.1430850468963882,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Total,0.4754227099668874
2016,108.83160463697376,111.75219310785522,-2.920588470881455,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Total,0.4754227099668874
2017,105.06406345332519,115.41559089372899,-10.3515274404038,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Total,0.4754227099668874
2018,104.06497864551555,120.2973464804073,-16.232367834891747,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Total,0.4754227099668874
2011,93.76288659793813,93.98491140427438,-0.22202480633625044,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,0.0492956844381866
2012,96.65807560137456,96.43604777823583,0.22202782313873115,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,0.0492956844381866
2013,100,99.99999999934235,6.576499345101183e-10,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,0.0492956844381866
2014,101.95017182130584,110.39033016271239,-8.440158341406544,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,0.0492956844381866
2015,103.43642611683849,122.7859799473256,-19.34955383048711,P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,0.0492956844381866
