location,employment_pre,employment_te,employment_te_pct,employment_post,population_pre,population_te,population_te_pct,population_post,pop_share_pre,pop_share_te,pop_share_te_pct,pop_share_post,income_pre,income_te,income_te_pct,income_post,rent_pre,rent_te,rent_te_pct,rent_post,pool_id,displacement_pct
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-134.78577763779685,-0.6754346665009265,19820.62728045284,5950.084930835179,0,0,5950.084930835179,P2,0
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,0
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-134.78577763779685,-0.6754346665009265,19820.62728045284,5950.084930835179,0,0,5950.084930835179,P2,0
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,50
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,50
Rest_of_Sydney,3046900,5846.333574598328,0.1918780916537572,3052746.333574598,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-96.75433625825826,-0.4848525859956108,19858.65872183238,5950.084930835179,0,0,5950.084930835179,P2,50
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,50
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,50
Rest_of_Sydney,3046900,5846.333574598328,0.1918780916537572,3052746.333574598,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-96.75433625825826,-0.4848525859956108,19858.65872183238,5950.084930835179,0,0,5950.084930835179,P2,50
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,50
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,50
Rest_of_Sydney,3046900,5846.333574598328,0.1918780916537572,3052746.333574598,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-96.75433625825826,-0.4848525859956108,19858.65872183238,5950.084930835179,0,0,5950.084930835179,P2,50
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,100
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,100
Rest_of_Sydney,3046900,11692.667149196655,0.3837561833075144,3058592.667149197,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-58.72289487871967,-0.29427050549029504,19896.69016321192,5950.084930835179,0,0,5950.084930835179,P2,100
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,100
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,100
Rest_of_Sydney,3046900,11692.667149196655,0.3837561833075144,3058592.667149197,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-58.72289487871967,-0.29427050549029504,19896.69016321192,5950.084930835179,0,0,5950.084930835179,P2,100
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,100
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,100
Rest_of_Sydney,3046900,11692.667149196655,0.3837561833075144,3058592.667149197,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-58.72289487871967,-0.29427050549029504,19896.69016321192,5950.084930835179,0,0,5950.084930835179,P2,100
