pool_id,worker_welfare,resident_amenity,total_welfare,landowner_value
P1,-602016074.074675,954908783.7213302,352892709.6466552,151607545.7851777
P2,-578642106.302501,986663165.3262872,408021059.0237863,164015057.7610424
P3,-319283260.7840239,760428212.3344817,441144951.5504578,173664201.9152453
P4,0,256337793.61027226,256337793.61027226,59278385.208131455
