location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct
CBD,10000,-33747.8022716371,-35724.66023006157,-1976.8579584244726,-24329.38543224523,-25898.574908668495,-1569.1894764232638,1774760084.5,1661163254.337056,-113596830.16294408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Inner_Ring,10000,-35199.87002611653,-36355.62756388558,-1155.7575377690519,-17460.024152619204,-18886.135102264296,-1426.1109496450918,4967804191.5,4528911264.148928,-438892927.3510723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Rest_of_Sydney,10000,0,0,0,14005.32812725546,13855.1333035383,-150.19482371716003,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14631.650571706381,14405.90587202707,-225.74469967931145,68435097527.3828,67379245321.02152,-1055852206.3612747,94411443228.5,93858953470.98598,-552489757.5140228,162846540755.8828,161238198792.0075,-1608341963.8753052,P1,0
CBD,5000,-14580.445491886754,-15847.806123958173,-1267.3606320714189,-5162.028652494886,-6021.720802565098,-859.6921500702119,1774760084.5,1661163254.337056,-113596830.16294408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Inner_Ring,5000,-19467.193886179197,-19984.993360984285,-517.7994748050878,-1727.3480126818722,-2515.500899363,-788.1528866811277,4967804191.5,4528911264.148928,-438892927.3510723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Rest_of_Sydney,5000,0,0,0,14005.32812725546,13855.1333035383,-150.19482371716003,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Sydney_Total,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14318.48934948092,14130.519587782685,-187.96976169823574,66970381111.43476,66091209693.89882,-879171417.5359421,94411443228.5,93858953470.98598,-552489757.5140228,161381824339.93475,159950163164.8848,-1431661175.0499573,P1,0
CBD,15000,-52915.15905138744,-55601.514336164975,-2686.3552847775354,-43496.74221199557,-45775.4290147719,-2278.6868027763267,1774760084.5,1661163254.337056,-113596830.16294408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Inner_Ring,15000,-50932.54616605386,-52726.261766786876,-1793.7156007330195,-33192.70029255653,-35256.769305165595,-2064.069012609063,4967804191.5,4528911264.148928,-438892927.3510723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Rest_of_Sydney,15000,0,0,0,14005.32812725546,13855.1333035383,-150.19482371716003,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Sydney_Total,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14944.811793931844,14681.292156271456,-263.51963766038716,69899813943.33084,68667280948.14423,-1232532995.1866074,94411443228.5,93858953470.98598,-552489757.5140228,164311257171.83084,162526234419.13022,-1785022752.7006226,P1,0
CBD,10000,-33747.8022716371,-35687.181463810775,-1939.3791921736774,-24329.38543224523,-25861.0961424177,-1531.7107101724687,1774760084.5,1661163254.337056,-113596830.16294408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
