location,employment_pre,employment_te,employment_te_pct,employment_post,population_pre,population_te,population_te_pct,population_post,pop_share_pre,pop_share_te,pop_share_te_pct,pop_share_post,income_pre,income_te,income_te_pct,income_post,rent_pre,rent_te,rent_te_pct,rent_post,pool_id,displacement_pct
Darlinghurst,13419,-566.7462983938054,-4.223461497829983,12852.253701606194,11251,-2358.5987935991557,-20.963459191175506,8892.401206400844,0.0024055010737202374,-5.042762359326305e-4,-20.963459191175506,0.0019012248377876068,23809.74997777975,5557.59653652988,23.34168372921371,29367.34651430963,9923.288596569193,943.4473323196241,9.507405968680633,10866.735928888816,P1,0
Erskineville - Alexandria,15747,-1098.6758394810583,-6.977048577386539,14648.324160518941,15204,-2239.823995687283,-14.73180739073456,12964.176004312718,0.003250665569713136,-4.7888179064706346e-4,-14.731807390734561,0.0027717837790660724,39999.28571428572,2471.8155438660106,6.1796492105437855,42471.10125815173,10447.060773480664,1047.6560418163285,10.02823726722975,11494.716815296992,P1,0
Glebe - Forest Lodge,16791,-356.8875653623358,-2.1254693905207303,16434.112434637664,18118,-882.5503823092698,-4.871124750575502,17235.44961769073,0.0038736884235768612,-1.8869219556103076e-4,-4.871124750575509,0.0036849962280158305,20853.906722596315,-583.5103713893768,-2.7980866086694074,20270.39635120694,8096.21481399713,1123.6062923728912,13.878167985740028,9219.82110637002,P1,0
Newtown - Camperdown - Darlington,23102,-1357.9063541943176,-5.8778735788863195,21744.093645805682,23418,-1875.9396881232592,-8.010674216941073,21542.06031187674,0.005006845982079861,-4.010821201684209e-4,-8.01067421694106,0.00460576386191144,22158.900162268343,-581.924143101045,-2.626141815882775,21576.976019167298,8325.001281065846,271.0511961562385,3.255869723079922,8596.052477222085,P1,0
Potts Point - Woolloomooloo,24612,-1297.345223833688,-5.271189760416415,23314.654776166313,20247,-2332.398575495633,-11.519724282588205,17914.601424504366,0.004328875676794387,-4.986745425027378e-4,-11.51972428258821,0.0038302011342916495,18317.687953770932,3255.058843437484,17.770031084995026,21572.746797208416,9909.92443324937,563.7775422269582,5.689019588639798,10473.70197547633,P1,0
Pyrmont - Ultimo,22047,-2220.290005795161,-10.070712594888924,19826.709994204837,20823,-2804.2626692590843,-13.467140514138624,18018.737330740914,0.004452026385039241,-5.995606489997609e-4,-13.467140514138624,0.0038524657360394805,18468.849085146234,-4864.714837159194,-26.34010822618986,13604.13424798704,9074.888344618932,693.4153111782214,7.641034080484203,9768.303655797154,P1,0
Redfern - Chippendale,19723,-1604.0435185742783,-8.132857671623375,18118.95648142572,18872,-5040.489102501158,-26.70882313745845,13831.510897498842,0.004034896121522382,-0.0010776732688775833,-26.708823137458445,0.0029572228526447988,17803.68622827469,3303.9468357369115,18.55765594481098,21107.633064011603,7500.61042814752,1447.9468916799067,19.30438736354311,8948.557319827427,P1,0
Surry Hills,19175,283.4029109925083,1.4779812828813992,19458.402910992507,16961,-72.52341285670379,-0.42758925096811884,16888.476587143297,0.003626317990522527,-1.5505745933397375e-5,-0.42758925096811784,0.0036108122445891295,25625.831318908084,-2145.603839880616,-8.372816527116825,23480.227479027468,9019.37432934379,941.5043229145991,10.438687746349464,9960.878652258389,P1,0
Sydney - Haymarket - The Rocks,43906,3900.3117999147103,8.883323008050631,47806.31179991471,25763,-4380.433775945539,-17.002809362052314,21382.566224054463,0.005508214750889208,-9.365512533461365e-4,-17.00280936205231,0.004571663497543071,12295.99774870939,3787.089254248265,30.79936522146619,16083.087002957654,8747.02045569227,1322.525745227886,15.119728505576207,10069.546200920156,P1,0
Waterloo - Beaconsfield,20593,-1613.767973321538,-7.8364879974823385,18979.232026678463,24217,-9858.1353054144,-40.70750012559111,14358.8646945856,0.005177674829107012,-0.0021077019875614367,-40.70750012559112,0.0030699728415455757,22796.264772680348,11189.207754405514,49.08351375096748,33985.47252708586,7410.134533592104,1529.658864699638,20.64279478011214,8939.793398291742,P1,0
Bondi Junction - Waverly,16222.000000000002,-561.038115069317,-3.4585015107219634,15660.961884930684,17195,-498.9971051361503,-2.9019895617106712,16696.00289486385,0.003676347965746999,-1.0668723421814038e-4,-2.9019895617106677,0.0035696607315288584,19955.088339633618,-2211.820507522447,-11.083992563087078,17743.26783211117,8824.239604536202,1002.5549004229509,11.361374411315577,9826.794504959153,P1,0
Paddington - Moore Park,14317,-994.7514662403045,-6.948044047218722,13322.248533759695,15672,-236.65658938301655,-1.5100599118364961,15435.343410616984,0.0033507255201620802,-5.0597962835642694e-5,-1.5100599118365023,0.0033001275573264375,29047.833652373658,-2088.820213069095,-7.190967278547487,26959.013439304563,9550.088820826953,1162.1595318683258,12.16909657776034,10712.248352695278,P1,0
Balmain,13266,-1905.0728481473905,-14.360567225594682,11360.92715185261,15886,-143.24400280451633,-0.9016996273732635,15742.755997195483,0.0033964794291280504,-3.0626042356257134e-5,-0.9016996273732623,0.0033658533867717932,35551.64408913509,-4344.31255521634,-12.219723353227431,31207.331533918747,9207.105375802594,922.5959520501493,10.02047782004152,10129.701327852743,P1,0
Leichhardt - Annandale,22014,-1557.2334144877389,-7.07383217265258,20456.76658551226,26300,-461.9570255720906,-1.7564905915288596,25838.04297442791,0.0056230271299299835,-9.876794249633492e-5,-1.7564905915288507,0.005524259187433649,28857.59178707224,-1139.7278169092642,-3.949490398640419,27717.863970162976,8500.010646387833,603.8360108245531,7.1039441707188855,9103.846657212385,P1,0
Lilyfield - Rozelle,11495,-581.6697543923657,-5.060197950346809,10913.330245607634,14031,-130.5427766398952,-0.930388259139728,13900.457223360105,0.002999874283652,-2.7910478124050248e-5,-0.9303882591397287,0.0029719638055279497,32268.908844701018,-413.37426952227906,-1.2810295864409453,31855.53457517874,8824.644002565747,1197.1216699141748,13.565665306907727,10021.765672479922,P1,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-150.19482371716003,-0.7526520412278095,19805.21823437348,5950.084930835179,0,0,5950.084930835179,P1,0
Darlinghurst,13419,-566.7462983938054,-4.223461497829983,12852.253701606194,11251,-2358.5987935991557,-20.963459191175506,8892.401206400844,0.0024055010737202374,-5.042762359326305e-4,-20.963459191175506,0.0019012248377876068,23809.74997777975,5557.59653652988,23.34168372921371,29367.34651430963,9923.288596569193,943.4473323196241,9.507405968680633,10866.735928888816,P1,0
Erskineville - Alexandria,15747,-1098.6758394810583,-6.977048577386539,14648.324160518941,15204,-2239.823995687283,-14.73180739073456,12964.176004312718,0.003250665569713136,-4.7888179064706346e-4,-14.731807390734561,0.0027717837790660724,39999.28571428572,2471.8155438660106,6.1796492105437855,42471.10125815173,10447.060773480664,1047.6560418163285,10.02823726722975,11494.716815296992,P1,0
Glebe - Forest Lodge,16791,-356.8875653623358,-2.1254693905207303,16434.112434637664,18118,-882.5503823092698,-4.871124750575502,17235.44961769073,0.0038736884235768612,-1.8869219556103076e-4,-4.871124750575509,0.0036849962280158305,20853.906722596315,-583.5103713893768,-2.7980866086694074,20270.39635120694,8096.21481399713,1123.6062923728912,13.878167985740028,9219.82110637002,P1,0
Newtown - Camperdown - Darlington,23102,-1357.9063541943176,-5.8778735788863195,21744.093645805682,23418,-1875.9396881232592,-8.010674216941073,21542.06031187674,0.005006845982079861,-4.010821201684209e-4,-8.01067421694106,0.00460576386191144,22158.900162268343,-581.924143101045,-2.626141815882775,21576.976019167298,8325.001281065846,271.0511961562385,3.255869723079922,8596.052477222085,P1,0
Potts Point - Woolloomooloo,24612,-1297.345223833688,-5.271189760416415,23314.654776166313,20247,-2332.398575495633,-11.519724282588205,17914.601424504366,0.004328875676794387,-4.986745425027378e-4,-11.51972428258821,0.0038302011342916495,18317.687953770932,3255.058843437484,17.770031084995026,21572.746797208416,9909.92443324937,563.7775422269582,5.689019588639798,10473.70197547633,P1,0
Pyrmont - Ultimo,22047,-2220.290005795161,-10.070712594888924,19826.709994204837,20823,-2804.2626692590843,-13.467140514138624,18018.737330740914,0.004452026385039241,-5.995606489997609e-4,-13.467140514138624,0.0038524657360394805,18468.849085146234,-4864.714837159194,-26.34010822618986,13604.13424798704,9074.888344618932,693.4153111782214,7.641034080484203,9768.303655797154,P1,0
Redfern - Chippendale,19723,-1604.0435185742783,-8.132857671623375,18118.95648142572,18872,-5040.489102501158,-26.70882313745845,13831.510897498842,0.004034896121522382,-0.0010776732688775833,-26.708823137458445,0.0029572228526447988,17803.68622827469,3303.9468357369115,18.55765594481098,21107.633064011603,7500.61042814752,1447.9468916799067,19.30438736354311,8948.557319827427,P1,0
Surry Hills,19175,283.4029109925083,1.4779812828813992,19458.402910992507,16961,-72.52341285670379,-0.42758925096811884,16888.476587143297,0.003626317990522527,-1.5505745933397375e-5,-0.42758925096811784,0.0036108122445891295,25625.831318908084,-2145.603839880616,-8.372816527116825,23480.227479027468,9019.37432934379,941.5043229145991,10.438687746349464,9960.878652258389,P1,0
Sydney - Haymarket - The Rocks,43906,3900.3117999147103,8.883323008050631,47806.31179991471,25763,-4380.433775945539,-17.002809362052314,21382.566224054463,0.005508214750889208,-9.365512533461365e-4,-17.00280936205231,0.004571663497543071,12295.99774870939,3787.089254248265,30.79936522146619,16083.087002957654,8747.02045569227,1322.525745227886,15.119728505576207,10069.546200920156,P1,0
Waterloo - Beaconsfield,20593,-1613.767973321538,-7.8364879974823385,18979.232026678463,24217,-9858.1353054144,-40.70750012559111,14358.8646945856,0.005177674829107012,-0.0021077019875614367,-40.70750012559112,0.0030699728415455757,22796.264772680348,11189.207754405514,49.08351375096748,33985.47252708586,7410.134533592104,1529.658864699638,20.64279478011214,8939.793398291742,P1,0
Bondi Junction - Waverly,16222.000000000002,-561.038115069317,-3.4585015107219634,15660.961884930684,17195,-498.9971051361503,-2.9019895617106712,16696.00289486385,0.003676347965746999,-1.0668723421814038e-4,-2.9019895617106677,0.0035696607315288584,19955.088339633618,-2211.820507522447,-11.083992563087078,17743.26783211117,8824.239604536202,1002.5549004229509,11.361374411315577,9826.794504959153,P1,0
Paddington - Moore Park,14317,-994.7514662403045,-6.948044047218722,13322.248533759695,15672,-236.65658938301655,-1.5100599118364961,15435.343410616984,0.0033507255201620802,-5.0597962835642694e-5,-1.5100599118365023,0.0033001275573264375,29047.833652373658,-2088.820213069095,-7.190967278547487,26959.013439304563,9550.088820826953,1162.1595318683258,12.16909657776034,10712.248352695278,P1,0
Balmain,13266,-1905.0728481473905,-14.360567225594682,11360.92715185261,15886,-143.24400280451633,-0.9016996273732635,15742.755997195483,0.0033964794291280504,-3.0626042356257134e-5,-0.9016996273732623,0.0033658533867717932,35551.64408913509,-4344.31255521634,-12.219723353227431,31207.331533918747,9207.105375802594,922.5959520501493,10.02047782004152,10129.701327852743,P1,0
Leichhardt - Annandale,22014,-1557.2334144877389,-7.07383217265258,20456.76658551226,26300,-461.9570255720906,-1.7564905915288596,25838.04297442791,0.0056230271299299835,-9.876794249633492e-5,-1.7564905915288507,0.005524259187433649,28857.59178707224,-1139.7278169092642,-3.949490398640419,27717.863970162976,8500.010646387833,603.8360108245531,7.1039441707188855,9103.846657212385,P1,0
Lilyfield - Rozelle,11495,-581.6697543923657,-5.060197950346809,10913.330245607634,14031,-130.5427766398952,-0.930388259139728,13900.457223360105,0.002999874283652,-2.7910478124050248e-5,-0.9303882591397287,0.0029719638055279497,32268.908844701018,-413.37426952227906,-1.2810295864409453,31855.53457517874,8824.644002565747,1197.1216699141748,13.565665306907727,10021.765672479922,P1,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-150.19482371716003,-0.7526520412278095,19805.21823437348,5950.084930835179,0,0,5950.084930835179,P1,0
Darlinghurst,13419,-566.7462983938054,-4.223461497829983,12852.253701606194,11251,-2358.5987935991557,-20.963459191175506,8892.401206400844,0.0024055010737202374,-5.042762359326305e-4,-20.963459191175506,0.0019012248377876068,23809.74997777975,5557.59653652988,23.34168372921371,29367.34651430963,9923.288596569193,943.4473323196241,9.507405968680633,10866.735928888816,P1,0
Erskineville - Alexandria,15747,-1098.6758394810583,-6.977048577386539,14648.324160518941,15204,-2239.823995687283,-14.73180739073456,12964.176004312718,0.003250665569713136,-4.7888179064706346e-4,-14.731807390734561,0.0027717837790660724,39999.28571428572,2471.8155438660106,6.1796492105437855,42471.10125815173,10447.060773480664,1047.6560418163285,10.02823726722975,11494.716815296992,P1,0
Glebe - Forest Lodge,16791,-356.8875653623358,-2.1254693905207303,16434.112434637664,18118,-882.5503823092698,-4.871124750575502,17235.44961769073,0.0038736884235768612,-1.8869219556103076e-4,-4.871124750575509,0.0036849962280158305,20853.906722596315,-583.5103713893768,-2.7980866086694074,20270.39635120694,8096.21481399713,1123.6062923728912,13.878167985740028,9219.82110637002,P1,0
Newtown - Camperdown - Darlington,23102,-1357.9063541943176,-5.8778735788863195,21744.093645805682,23418,-1875.9396881232592,-8.010674216941073,21542.06031187674,0.005006845982079861,-4.010821201684209e-4,-8.01067421694106,0.00460576386191144,22158.900162268343,-581.924143101045,-2.626141815882775,21576.976019167298,8325.001281065846,271.0511961562385,3.255869723079922,8596.052477222085,P1,0
Potts Point - Woolloomooloo,24612,-1297.345223833688,-5.271189760416415,23314.654776166313,20247,-2332.398575495633,-11.519724282588205,17914.601424504366,0.004328875676794387,-4.986745425027378e-4,-11.51972428258821,0.0038302011342916495,18317.687953770932,3255.058843437484,17.770031084995026,21572.746797208416,9909.92443324937,563.7775422269582,5.689019588639798,10473.70197547633,P1,0
Pyrmont - Ultimo,22047,-2220.290005795161,-10.070712594888924,19826.709994204837,20823,-2804.2626692590843,-13.467140514138624,18018.737330740914,0.004452026385039241,-5.995606489997609e-4,-13.467140514138624,0.0038524657360394805,18468.849085146234,-4864.714837159194,-26.34010822618986,13604.13424798704,9074.888344618932,693.4153111782214,7.641034080484203,9768.303655797154,P1,0
Redfern - Chippendale,19723,-1604.0435185742783,-8.132857671623375,18118.95648142572,18872,-5040.489102501158,-26.70882313745845,13831.510897498842,0.004034896121522382,-0.0010776732688775833,-26.708823137458445,0.0029572228526447988,17803.68622827469,3303.9468357369115,18.55765594481098,21107.633064011603,7500.61042814752,1447.9468916799067,19.30438736354311,8948.557319827427,P1,0
Surry Hills,19175,283.4029109925083,1.4779812828813992,19458.402910992507,16961,-72.52341285670379,-0.42758925096811884,16888.476587143297,0.003626317990522527,-1.5505745933397375e-5,-0.42758925096811784,0.0036108122445891295,25625.831318908084,-2145.603839880616,-8.372816527116825,23480.227479027468,9019.37432934379,941.5043229145991,10.438687746349464,9960.878652258389,P1,0
Sydney - Haymarket - The Rocks,43906,3900.3117999147103,8.883323008050631,47806.31179991471,25763,-4380.433775945539,-17.002809362052314,21382.566224054463,0.005508214750889208,-9.365512533461365e-4,-17.00280936205231,0.004571663497543071,12295.99774870939,3787.089254248265,30.79936522146619,16083.087002957654,8747.02045569227,1322.525745227886,15.119728505576207,10069.546200920156,P1,0
Waterloo - Beaconsfield,20593,-1613.767973321538,-7.8364879974823385,18979.232026678463,24217,-9858.1353054144,-40.70750012559111,14358.8646945856,0.005177674829107012,-0.0021077019875614367,-40.70750012559112,0.0030699728415455757,22796.264772680348,11189.207754405514,49.08351375096748,33985.47252708586,7410.134533592104,1529.658864699638,20.64279478011214,8939.793398291742,P1,0
Bondi Junction - Waverly,16222.000000000002,-561.038115069317,-3.4585015107219634,15660.961884930684,17195,-498.9971051361503,-2.9019895617106712,16696.00289486385,0.003676347965746999,-1.0668723421814038e-4,-2.9019895617106677,0.0035696607315288584,19955.088339633618,-2211.820507522447,-11.083992563087078,17743.26783211117,8824.239604536202,1002.5549004229509,11.361374411315577,9826.794504959153,P1,0
Paddington - Moore Park,14317,-994.7514662403045,-6.948044047218722,13322.248533759695,15672,-236.65658938301655,-1.5100599118364961,15435.343410616984,0.0033507255201620802,-5.0597962835642694e-5,-1.5100599118365023,0.0033001275573264375,29047.833652373658,-2088.820213069095,-7.190967278547487,26959.013439304563,9550.088820826953,1162.1595318683258,12.16909657776034,10712.248352695278,P1,0
Balmain,13266,-1905.0728481473905,-14.360567225594682,11360.92715185261,15886,-143.24400280451633,-0.9016996273732635,15742.755997195483,0.0033964794291280504,-3.0626042356257134e-5,-0.9016996273732623,0.0033658533867717932,35551.64408913509,-4344.31255521634,-12.219723353227431,31207.331533918747,9207.105375802594,922.5959520501493,10.02047782004152,10129.701327852743,P1,0
Leichhardt - Annandale,22014,-1557.2334144877389,-7.07383217265258,20456.76658551226,26300,-461.9570255720906,-1.7564905915288596,25838.04297442791,0.0056230271299299835,-9.876794249633492e-5,-1.7564905915288507,0.005524259187433649,28857.59178707224,-1139.7278169092642,-3.949490398640419,27717.863970162976,8500.010646387833,603.8360108245531,7.1039441707188855,9103.846657212385,P1,0
Lilyfield - Rozelle,11495,-581.6697543923657,-5.060197950346809,10913.330245607634,14031,-130.5427766398952,-0.930388259139728,13900.457223360105,0.002999874283652,-2.7910478124050248e-5,-0.9303882591397287,0.0029719638055279497,32268.908844701018,-413.37426952227906,-1.2810295864409453,31855.53457517874,8824.644002565747,1197.1216699141748,13.565665306907727,10021.765672479922,P1,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-150.19482371716003,-0.7526520412278095,19805.21823437348,5950.084930835179,0,0,5950.084930835179,P1,0
