location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct
Pyrmont - Ultimo,5000,-22147.450986184987,-17500.520428228523,4646.930557956464,-12753.490245657686,-13664.689836038637,-911.1995903809511,384576844.5,245129321.62661505,-139447522.87338495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Redfern - Chippendale,5000,-23548.46006038577,-27146.079538966493,-3597.619478580724,-13245.384260258597,-14987.003794782317,-1741.6195345237193,335991166.5,291950456.74528337,-44040709.754716635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Surry Hills,5000,-30385.655005901248,-27507.941906209242,2877.713099692006,-13779.198016336955,-13988.593079440163,-209.39506310320758,434639725,396545272.040354,-38094452.95964599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Sydney - Haymarket - The Rocks,5000,-15238.061493389656,-18822.411896607824,-3584.350403218168,-11689.084200372537,-12808.871094570326,-1119.7868941977886,316781790,343897672.92797166,27115882.92797166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Waterloo - Beaconsfield,5000,-27384.636880481885,-39845.5923601327,-12460.955479650816,-11998.50664139364,-14799.913231338582,-2801.4065899449415,552057144,487992801.597982,-64064342.40201801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Bondi Junction - Waverly,5000,-24841.536486461737,-21962.377343827946,2879.159142633791,-13710.687751364321,-14045.904016675928,-335.21626531160655,343127744.00000006,296241651.08927274,-46886092.91072732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Paddington - Moore Park,5000,-33672.14739912097,-30685.21628643387,2986.9311126871,-14174.402567574267,-14438.451199824587,-264.0486322503202,455237649,416121630.4471044,-39116018.552895606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Balmain,5000,-40451.12859306326,-35417.4793246381,5033.649268425157,-14106.589879730767,-14339.8491185721,-233.25923884133226,564773418,491289405.6620671,-73484012.33793288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Leichhardt - Annandale,5000,-31943.517415551276,-30476.528346621726,1466.9890689295498,-11585.936274866868,-11862.511033671133,-276.574758804265,758954664,716175360.420418,-42779303.579581976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Lilyfield - Rozelle,5000,-38171.69997586144,-36795.91096836966,1375.7890074917814,-14727.435133726169,-14962.142065670843,-234.70693194467458,452765060,442806495.68954086,-9958564.310459137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Rest_of_Sydney,5000,0,0,0,14005.32812725546,13855.1333035383,-150.19482371716003,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Sydney_Total,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14318.48934948092,14130.519587782685,-187.96976169823574,66970381111.43476,66091209693.89882,-879171417.5359421,94411443228.5,93809427154.42532,-602016074.0746765,161381824339.93475,159900636848.32416,-1481187491.6105957,P1,0
Darlinghurst,15000,-89391.60534424384,-97798.17266476556,-8406.567320521717,-75505.14396303329,-79297.56207934475,-3792.4181163114554,267883497,261146227.57263854,-6737269.427361459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Erskineville - Alexandria,15000,-100540.84584076735,-104619.05532373369,-4078.20948296634,-70988.62089996229,-73642.67088087896,-2654.049980916665,608149140,550602831.8076663,-57546308.1923337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Glebe - Forest Lodge,15000,-81116.102286760055,-80421.56974275984,694.5325440002198,-68358.41037816087,-69370.99449792292,-1012.5841197620466,377831082,349369395.0418492,-28461686.958150804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Newtown - Camperdown - Darlington,15000,-78343.3236866718,-79006.33258158823,-663.0088949164201,-64509.42480546931,-66025.40903964301,-1515.9842341737021,518917124,464812518.75282,-54104605.247179985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Potts Point - Woolloomooloo,15000,-75099.66317094819,-79890.32209077498,-4790.65891982679,-66691.89965042663,-68791.2772690429,-2099.3776186162722,370878228,386467160.50374186,15588932.50374186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Pyrmont - Ultimo,15000,-75665.08773201128,-72540.16670738239,3124.921024628886,-66271.12699148398,-68704.3361151925,-2433.209123708526,384576844.5,245129321.62661505,-139447522.87338495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Redfern - Chippendale,15000,-78049.88483541388,-84830.35373560773,-6780.468900193853,-67746.8090352867,-72671.27799142356,-4924.468956136858,335991166.5,291950456.74528337,-44040709.754716635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Surry Hills,15000,-85954.70729308607,-83195.39467216618,2759.3126209198963,-69348.25030352178,-69676.0458453971,-327.79554187531176,434639725,396545272.040354,-38094452.95964599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Sydney - Haymarket - The Rocks,15000,-66626.88614864564,-72150.42069282508,-5523.534544179434,-63077.90885562853,-66136.87989078758,-3058.9710351590475,316781790,343897672.92797166,27115882.92797166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Waterloo - Beaconsfield,15000,-79392.3064177801,-97155.68542988646,-17763.379012106365,-64006.17617869185,-72110.00630109235,-8103.830122400497,552057144,487992801.597982,-64064342.40201801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Bondi Junction - Waverly,15000,-80273.56824370129,-77764.4519842564,2509.1162594448833,-69142.71950860387,-69847.97865710438,-705.2591485005105,343127744.00000006,296241651.08927274,-46886092.91072732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Paddington - Moore Park,15000,-90031.60878878042,-87272.38529315965,2759.2234956207685,-70533.86395723371,-71025.62020655036,-491.7562493166479,455237649,416121630.4471044,-39116018.552895606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
