location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct,,,,,,,,,
Rest_of_Sydney,15000,0,0,0,14005.32813,13892.61207,-112.7160575,87668878953,87834780756,165901803.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,#DIV/0!,,,,,,
Sydney_Total,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14944.81179,14718.77092,-226.0408714,69899813943,68842576484,-1057237460,94411443229,93975328958,-436114270.7,1.64311E+11,1.62818E+11,-1493351730,P1,50,,,#VALUE!,,,,,,
Darlinghurst,10000,-59554.78131,-66672.31667,-7117.535357,-45668.31993,-48171.70609,-2503.386153,267883497,261146227.6,-6737269.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.119512409,,,,,,
Erskineville - Alexandria,10000,-72209.5295,-75378.16306,-3168.633565,-42657.30456,-44401.77862,-1744.474063,608149140,550602831.8,-57546308.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.0438811,,,,,,
Glebe - Forest Lodge,10000,-53661.52278,-52604.56961,1056.953175,-40903.83088,-41553.99436,-650.1634886,377831082,349369395,-28461686.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.019696668,,,,,,
Newtown - Camperdown - Darlington,10000,-52171.73938,-52304.5276,-132.7882256,-38337.84049,-39323.60406,-985.7635649,518917124,464812518.8,-54104605.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.002545214,,,,,,
Potts Point - Woolloomooloo,10000,-48200.58725,-52266.56103,-4065.973789,-39792.82372,-41167.51621,-1374.692488,370878228,386467160.5,15588932.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.084355275,,,,,,
Pyrmont - Ultimo,10000,-48906.26936,-44945.38604,3960.883324,-39512.30862,-41109.55544,-1597.246825,384576844.5,245129321.6,-139447522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.080989276,,,,,,
Redfern - Chippendale,10000,-50799.17245,-55913.2591,-5114.086657,-40496.09665,-43754.18336,-3258.086713,335991166.5,291950456.7,-44040709.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.100672637,,,,,,
Surry Hills,10000,-58170.18115,-55276.71076,2893.470393,-41563.72416,-41757.36193,-193.63777,434639725,396545272,-38094452.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.049741471,,,,,,
Sydney - Haymarket - The Rocks,10000,-40932.47382,-45411.45876,-4478.984941,-37383.49653,-39397.91796,-2014.421432,316781790,343897672.9,27115882.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.109423754,,,,,,
Waterloo - Beaconsfield,10000,-53388.47165,-68425.68136,-15037.20971,-38002.34141,-43380.00223,-5377.660824,552057144,487992801.6,-64064342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.281656493,,,,,,
Bondi Junction - Waverly,10000,-52557.55237,-49788.45713,2769.095234,-41426.70363,-41871.9838,-445.2801744,343127744,296241651.1,-46886092.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.052686914,,,,,,
Paddington - Moore Park,10000,-61851.87809,-58903.84326,2948.034837,-42354.13326,-42657.07817,-302.9449083,455237649,416121630.4,-39116018.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.047662818,,,,,,
Balmain,10000,-68563.0466,-63537.50421,5025.542386,-42218.50789,-42459.87401,-241.3661215,564773418,491289405.7,-73484012.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.07329812,,,,,,
Leichhardt - Annandale,10000,-57534.78182,-56119.21515,1415.566666,-37177.20068,-37505.19784,-327.9971614,758954664,716175360.4,-42779303.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.024603668,,,,,,
Lilyfield - Rozelle,10000,-66904.46324,-65538.22881,1366.234432,-43460.19839,-43704.4599,-244.2615077,452765060,442806495.7,-9958564.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.020420677,,,,,,
Rest_of_Sydney,10000,0,0,0,14005.32813,13930.09084,-75.23729122,87668878953,88000682559,331803606.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,#DIV/0!,,,,,,
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14631.65057,14480.8634,-150.7871672,68435097527,67729836392,-705261135.2,94411443229,94141230761,-270212467.3,1.62847E+11,1.61871E+11,-975473602.5,P1,100,,,#VALUE!,,,,,,
Darlinghurst,5000,-29717.95728,-35621.41821,-5903.460926,-15831.4959,-17120.80762,-1289.311722,267883497,261146227.6,-6737269.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.19864962,,0.002405501,,,,
Erskineville - Alexandria,5000,-43878.21316,-46212.22833,-2334.015179,-14325.98822,-15235.84389,-909.8556769,608149140,550602831.8,-57546308.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.053193032,,0.003250666,,,,
Glebe - Forest Lodge,5000,-26206.94328,-24862.52701,1344.416274,-13449.25137,-13811.95176,-362.7003899,377831082,349369395,-28461686.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.051300003,,0.003873688,,,,
Newtown - Camperdown - Darlington,5000,-26000.15506,-25677.68015,322.4749112,-12166.25618,-12696.75661,-530.500428,518917124,464812518.8,-54104605.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.012402807,,0.005006846,,,,
Potts Point - Woolloomooloo,5000,-21301.51132,-24717.75751,-3416.246191,-12893.7478,-13618.71269,-724.9648895,370878228,386467160.5,15588932.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.160375766,,0.004328876,,,,
Pyrmont - Ultimo,5000,-22147.45099,-17425.5629,4721.88809,-12753.49025,-13589.7323,-836.2420579,384576844.5,245129321.6,-139447522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.213202327,,0.004452026,,,,
Redfern - Chippendale,5000,-23548.46006,-27071.12201,-3522.661946,-13245.38426,-14912.04626,-1666.662002,335991166.5,291950456.7,-44040709.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.14959203,,0.004034896,,,,
Surry Hills,5000,-30385.65501,-27432.98437,2952.670632,-13779.19802,-13913.63555,-134.4375306,434639725,396545272,-38094452.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.097173177,,0.003626318,,,,
Sydney - Haymarket - The Rocks,5000,-15238.06149,-18747.45436,-3509.392871,-11689.0842,-12733.91356,-1044.829362,316781790,343897672.9,27115882.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.230304417,,0.005508215,,,,
Waterloo - Beaconsfield,5000,-27384.63688,-39770.63483,-12385.99795,-11998.50664,-14724.9557,-2726.449057,552057144,487992801.6,-64064342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.452297323,,0.005177675,,,,
Bondi Junction - Waverly,5000,-24841.53649,-21887.41981,2954.116675,-13710.68775,-13970.94648,-260.2587328,343127744,296241651.1,-46886092.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.118918436,,0.003676348,,,,
Paddington - Moore Park,5000,-33672.1474,-30610.25875,3061.888645,-14174.40257,-14363.49367,-189.0910997,455237649,416121630.4,-39116018.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.090932384,,0.003350726,,,,
Balmain,5000,-40451.12859,-35342.52179,5108.606801,-14106.58988,-14264.89159,-158.3017063,564773418,491289405.7,-73484012.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.126290835,,0.003396479,,,,
Leichhardt - Annandale,5000,-31943.51742,-30401.57081,1541.946601,-11585.93627,-11787.5535,-201.6172263,758954664,716175360.4,-42779303.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.048271034,,0.005623027,,,,
Lilyfield - Rozelle,5000,-38171.69998,-36720.95344,1450.74654,-14727.43513,-14887.18453,-159.7493994,452765060,442806495.7,-9958564.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.038005814,,0.002999874,,,,
Rest_of_Sydney,5000,0,0,0,14005.32813,13930.09084,-75.23729122,87668878953,88000682559,331803606.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,#DIV/0!,,0.939288839,,,,
Sydney_Total,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14318.48935,14205.47712,-113.0122292,66970381111,66441800765,-528580346.3,94411443229,94141230761,-270212467.3,1.61382E+11,1.60583E+11,-798792813.6,P1,100,,,#VALUE!,,,-118.4761242,-0.007892748,,-44.20574688
Darlinghurst,15000,-89391.60534,-97723.21513,-8331.609788,-75505.14396,-79222.60455,-3717.460584,267883497,261146227.6,-6737269.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.093203492,,,,,,5.463895002
Erskineville - Alexandria,15000,-100540.8458,-104544.0978,-4003.25195,-70988.6209,-73567.71335,-2579.092448,608149140,550602831.8,-57546308.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.03981717,,,,,,
Glebe - Forest Lodge,15000,-81116.10229,-80346.61221,769.4900765,-68358.41038,-69296.03697,-937.6265873,377831082,349369395,-28461686.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.00948628,,,,,-79.73427232,
Newtown - Camperdown - Darlington,15000,-78343.32369,-78931.37505,-588.0513624,-64509.42481,-65950.45151,-1441.026702,518917124,464812518.8,-54104605.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.007506081,,,,,,
Potts Point - Woolloomooloo,15000,-75099.66317,-79815.36456,-4715.701387,-66691.89965,-68716.31974,-2024.420086,370878228,386467160.5,15588932.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.062792577,,,,,,
Pyrmont - Ultimo,15000,-75665.08773,-72465.20917,3199.878557,-66271.12699,-68629.37858,-2358.251591,384576844.5,245129321.6,-139447522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.042290026,,,,,,
Redfern - Chippendale,15000,-78049.88484,-84755.3962,-6705.511368,-67746.80904,-72596.32046,-4849.511424,335991166.5,291950456.7,-44040709.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.085913149,,,,,,
Surry Hills,15000,-85954.70729,-83120.43714,2834.270153,-69348.2503,-69601.08831,-252.8380094,434639725,396545272,-38094452.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.032973996,,,,,,
Sydney - Haymarket - The Rocks,15000,-66626.88615,-72075.46316,-5448.577012,-63077.90886,-66061.92236,-2984.013503,316781790,343897672.9,27115882.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.081777452,,,,,,
Waterloo - Beaconsfield,15000,-79392.30642,-97080.7279,-17688.42148,-64006.17618,-72035.04877,-8028.87259,552057144,487992801.6,-64064342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,0.222797677,,,,,,
Bondi Junction - Waverly,15000,-80273.56824,-77689.49445,2584.073792,-69142.71951,-69773.02112,-630.301616,343127744,296241651.1,-46886092.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.032190842,,,,,,
Paddington - Moore Park,15000,-90031.60879,-87197.42776,2834.181028,-70533.86396,-70950.66267,-416.7987168,455237649,416121630.4,-39116018.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.031479844,,,,,,
Balmain,15000,-96674.96461,-91732.48664,4942.477971,-70330.42589,-70654.85643,-324.4305366,564773418,491289405.7,-73484012.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.051124694,,,,,,
Leichhardt - Annandale,15000,-83126.04622,-81836.85949,1289.186731,-62768.46508,-63222.84218,-454.3770965,758954664,716175360.4,-42779303.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.015508818,,,,,,
Lilyfield - Rozelle,15000,-95637.2265,-94355.50417,1281.722324,-72192.96166,-72521.73527,-328.7736159,452765060,442806495.7,-9958564.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,-0.013401919,,,,,,
Rest_of_Sydney,15000,0,0,0,14005.32813,13930.09084,-75.23729122,87668878953,88000682559,331803606.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,100,,,#DIV/0!,,,,,,
Sydney_Total,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14944.81179,14756.24969,-188.5621052,69899813943,69017872019,-881941924,94411443229,94141230761,-270212467.3,1.64311E+11,1.63159E+11,-1152154391,P1,100,,,#VALUE!,,,,,,
Darlinghurst,10000,-59554.78131,-66207.82771,-6653.046399,-45668.31993,-48088.34072,-2420.020786,267883497,262099306.5,-5784190.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Erskineville - Alexandria,10000,-72209.5295,-74898.4711,-2688.941602,-42657.30456,-44324.25041,-1666.945851,608149140,553713285.2,-54435854.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Glebe - Forest Lodge,10000,-53661.52278,-52295.74221,1365.780571,-40903.83088,-41470.60523,-566.7743509,377831082,351469598.5,-26361483.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Newtown - Camperdown - Darlington,10000,-52171.73938,-51969.5247,202.2146794,-38337.84049,-39241.79236,-903.9518694,518917124,467192986.6,-51724137.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Potts Point - Woolloomooloo,10000,-48200.58725,-51837.8496,-3637.26235,-39792.82372,-41088.55877,-1295.735042,370878228,386948332.5,16070104.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Pyrmont - Ultimo,10000,-48906.26936,-44667.96612,4238.303241,-39512.30862,-41029.59094,-1517.282317,384576844.5,246251640.2,-138325204.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Redfern - Chippendale,10000,-50799.17245,-55883.85904,-5084.686592,-40496.09665,-43783.55945,-3287.462797,335991166.5,292707727.8,-43283438.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Surry Hills,10000,-58170.18115,-55962.6704,2207.510746,-41563.72416,-42014.1596,-450.4354395,434639725,397043653.2,-37596071.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Sydney - Haymarket - The Rocks,10000,-40932.47382,-45078.11404,-4145.640215,-37383.49653,-39322.91793,-1939.421404,316781790,344444132.9,27662342.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Waterloo - Beaconsfield,10000,-53388.47165,-62480.85519,-9092.383544,-38002.34141,-41980.91667,-3978.575262,552057144,489728818.5,-62328325.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Bondi Junction - Waverly,10000,-52557.55237,-49762.31948,2795.23288,-41426.70363,-41895.77661,-469.0729767,343127744,297578847.1,-45548896.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Paddington - Moore Park,10000,-61851.87809,-59079.78854,2772.089554,-42354.13326,-42735.22056,-381.0872993,455237649,417899993.4,-37337655.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Balmain,10000,-68563.0466,-63789.26058,4773.786023,-42218.50789,-42543.47354,-324.9656533,564773418,493674633.3,-71098784.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Leichhardt - Annandale,10000,-57534.78182,-56143.6938,1391.088014,-37177.20068,-37542.74304,-365.5423604,758954664,718906525.2,-40048138.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Lilyfield - Rozelle,10000,-66904.46324,-65741.91571,1162.547523,-43460.19839,-43787.37319,-327.1747951,452765060,444262688.9,-8502371.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Rest_of_Sydney,10000,0,0,0,14005.32813,13870.54235,-134.7857776,87668878953,87668878953,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14631.65057,14429.09219,-202.5583827,68435097527,67487692270,-947405257.1,94411443229,93832801122,-578642106.3,1.62847E+11,1.6132E+11,-1526047363,P2,0,,,,,,,,,
Darlinghurst,5000,-29717.95728,-35228.38618,-5510.428894,-15831.4959,-17108.89918,-1277.403282,267883497,262099306.5,-5784190.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Erskineville - Alexandria,5000,-43878.21316,-45801.07472,-1922.861565,-14325.98822,-15226.85403,-900.8658142,608149140,553713285.2,-54435854.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Glebe - Forest Lodge,5000,-26206.94328,-24625.16843,1581.774857,-13449.25137,-13800.03144,-350.7800643,377831082,351469598.5,-26361483.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Newtown - Camperdown - Darlington,5000,-26000.15506,-25413.35734,586.7977252,-12166.25618,-12685.62501,-519.3688235,518917124,467192986.6,-51724137.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Potts Point - Woolloomooloo,5000,-21301.51132,-24358.29904,-3056.787718,-12893.7478,-13609.00821,-715.2604096,370878228,386948332.5,16070104.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Pyrmont - Ultimo,5000,-22147.45099,-17217.89948,4929.551511,-12753.49025,-13579.52429,-826.0340475,384576844.5,246251640.2,-138325204.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Redfern - Chippendale,5000,-23548.46006,-27056.80814,-3508.348082,-13245.38426,-14956.50855,-1711.124287,335991166.5,292707727.8,-43283438.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Surry Hills,5000,-30385.65501,-28020.31943,2365.335577,-13779.19802,-14071.80862,-292.6106086,434639725,397043653.2,-37596071.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Sydney - Haymarket - The Rocks,5000,-15238.06149,-18481.3839,-3243.322402,-11689.0842,-12726.18779,-1037.103591,316781790,344444132.9,27662342.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Waterloo - Beaconsfield,5000,-27384.63688,-34555.12568,-7170.488802,-11998.50664,-14055.18716,-2056.68052,552057144,489728818.5,-62328325.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Bondi Junction - Waverly,5000,-24841.53649,-21879.16001,2962.37648,-13710.68775,-14012.61713,-301.9293772,343127744,297578847.1,-45548896.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Paddington - Moore Park,5000,-33672.1474,-30776.90708,2895.240315,-14174.40257,-14432.33911,-257.9365384,455237649,417899993.4,-37337655.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Balmain,5000,-40451.12859,-35582.25263,4868.875961,-14106.58988,-14336.4656,-229.8757155,564773418,493674633.3,-71098784.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Leichhardt - Annandale,5000,-31943.51742,-30437.05111,1506.466305,-11585.93627,-11836.10034,-250.164069,758954664,718906525.2,-40048138.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Lilyfield - Rozelle,5000,-38171.69998,-36912.95794,1258.742032,-14727.43513,-14958.41542,-230.9802864,452765060,444262688.9,-8502371.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Rest_of_Sydney,5000,0,0,0,14005.32813,13870.54235,-134.7857776,87668878953,87668878953,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Sydney_Total,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14318.48935,14149.81727,-168.6720801,66970381111,66181468733,-788912378.6,94411443229,93832801122,-578642106.3,1.61382E+11,1.60014E+11,-1367554485,P2,0,,,,,,,,,
Darlinghurst,15000,-89391.60534,-97187.26925,-7795.663903,-75505.14396,-79067.78225,-3562.63829,267883497,262099306.5,-5784190.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Erskineville - Alexandria,15000,-100540.8458,-103995.8675,-3455.021638,-70988.6209,-73421.64679,-2433.025887,608149140,553713285.2,-54435854.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Glebe - Forest Lodge,15000,-81116.10229,-79966.316,1149.786284,-68358.41038,-69141.17902,-782.7686376,377831082,351469598.5,-26361483.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Newtown - Camperdown - Darlington,15000,-78343.32369,-78525.69205,-182.3683665,-64509.42481,-65797.95972,-1288.534915,518917124,467192986.6,-51724137.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Potts Point - Woolloomooloo,15000,-75099.66317,-79317.40015,-4217.736982,-66691.89965,-68568.10932,-1876.209673,370878228,386948332.5,16070104.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Pyrmont - Ultimo,15000,-75665.08773,-72118.03276,3547.054971,-66271.12699,-68479.65758,-2208.530587,384576844.5,246251640.2,-138325204.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Redfern - Chippendale,15000,-78049.88484,-84710.90994,-6661.025102,-67746.80904,-72610.61034,-4863.801307,335991166.5,292707727.8,-43283438.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Surry Hills,15000,-85954.70729,-83905.02138,2049.685915,-69348.2503,-69956.51057,-608.2602704,434639725,397043653.2,-37596071.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Sydney - Haymarket - The Rocks,15000,-66626.88615,-71674.84418,-5047.958028,-63077.90886,-65919.64807,-2841.739217,316781790,344444132.9,27662342.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Waterloo - Beaconsfield,15000,-79392.30642,-90406.5847,-11014.27829,-64006.17618,-69906.64618,-5900.470005,552057144,489728818.5,-62328325.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Bondi Junction - Waverly,15000,-80273.56824,-77645.47896,2628.089281,-69142.71951,-69778.93608,-636.2165762,343127744,297578847.1,-45548896.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Paddington - Moore Park,15000,-90031.60879,-87382.67,2648.938793,-70533.86396,-71038.10202,-504.2380601,455237649,417899993.4,-37337655.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Balmain,15000,-96674.96461,-91996.26852,4678.696085,-70330.42589,-70750.48148,-420.0555911,564773418,493674633.3,-71098784.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Leichhardt - Annandale,15000,-83126.04622,-81850.3365,1275.709722,-62768.46508,-63249.38573,-480.9206517,758954664,718906525.2,-40048138.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Lilyfield - Rozelle,15000,-95637.2265,-94570.87348,1066.353014,-72192.96166,-72616.33096,-423.3693038,452765060,444262688.9,-8502371.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Rest_of_Sydney,15000,0,0,0,14005.32813,13870.54235,-134.7857776,87668878953,87668878953,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,0,,,,,,,,,
Sydney_Total,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14944.81179,14708.36711,-236.4446852,69899813943,68793915808,-1105898136,94411443229,93832801122,-578642106.3,1.64311E+11,1.62627E+11,-1684540242,P2,0,,,,,,,,,
Darlinghurst,10000,-59554.78131,-66169.79627,-6615.014957,-45668.31993,-48050.30928,-2381.989344,267883497,262099306.5,-5784190.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,50,,,,,,,,,
Erskineville - Alexandria,10000,-72209.5295,-74860.43966,-2650.91016,-42657.30456,-44286.21897,-1628.914409,608149140,553713285.2,-54435854.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,50,,,,,,,,,
Glebe - Forest Lodge,10000,-53661.52278,-52257.71077,1403.812012,-40903.83088,-41432.57379,-528.7429096,377831082,351469598.5,-26361483.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,50,,,,,,,,,
Newtown - Camperdown - Darlington,10000,-52171.73938,-51931.49326,240.2461207,-38337.84049,-39203.76092,-865.920428,518917124,467192986.6,-51724137.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,50,,,,,,,,,
Potts Point - Woolloomooloo,10000,-48200.58725,-51799.81815,-3599.230909,-39792.82372,-41050.52732,-1257.7036,370878228,386948332.5,16070104.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,50,,,,,,,,,
